"geoid","name","year","b19013_001","b25095_001","b25074_001"
"17197883402","Tract 8834.02, Will County, IL",2015,54145,583,283
"17197883504","Tract 8835.04, Will County, IL",2015,87764,1973,84
"17197883505","Tract 8835.05, Will County, IL",2015,108886,2309,211
"17197883507","Tract 8835.07, Will County, IL",2015,105600,1217,39
"17197883509","Tract 8835.09, Will County, IL",2015,67589,1373,256
"17197883510","Tract 8835.10, Will County, IL",2015,96098,1464,92
"17197883511","Tract 8835.11, Will County, IL",2015,83284,1388,182
"17197883513","Tract 8835.13, Will County, IL",2015,85000,1654,48
"17197883514","Tract 8835.14, Will County, IL",2015,115636,2216,21
"17197883515","Tract 8835.15, Will County, IL",2015,109188,1259,80
"17197883516","Tract 8835.16, Will County, IL",2015,124083,2033,42
"17197883517","Tract 8835.17, Will County, IL",2015,84671,1009,210
"17197883519","Tract 8835.19, Will County, IL",2015,98281,1743,167
"17197883521","Tract 8835.21, Will County, IL",2015,96176,1088,172
"17197883522","Tract 8835.22, Will County, IL",2015,104432,1149,13
"17197883602","Tract 8836.02, Will County, IL",2015,73023,1969,201
"17197883603","Tract 8836.03, Will County, IL",2015,42417,766,439
"17197883605","Tract 8836.05, Will County, IL",2015,34118,448,710
"17197883606","Tract 8836.06, Will County, IL",2015,57384,1019,250
"17197883700","Tract 8837, Will County, IL",2015,41335,706,469
"17197883803","Tract 8838.03, Will County, IL",2015,41992,292,1102
"17197883804","Tract 8838.04, Will County, IL",2015,53275,724,219
"17197883806","Tract 8838.06, Will County, IL",2015,64000,1203,87
"17197883808","Tract 8838.08, Will County, IL",2015,70234,738,161
"17197883809","Tract 8838.09, Will County, IL",2015,43750,1221,123
"17197883810","Tract 8838.10, Will County, IL",2015,76250,1141,206
"17197883811","Tract 8838.11, Will County, IL",2015,60523,1038,210
"17197883902","Tract 8839.02, Will County, IL",2015,71059,1916,386
"17197883903","Tract 8839.03, Will County, IL",2015,73417,508,151
"17197883904","Tract 8839.04, Will County, IL",2015,78557,1330,269
"17197884003","Tract 8840.03, Will County, IL",2015,60022,1214,451
"17197884004","Tract 8840.04, Will County, IL",2015,53696,928,140
"17197884005","Tract 8840.05, Will County, IL",2015,64531,441,91
"17197884006","Tract 8840.06, Will County, IL",2015,71111,755,55
"17197884101","Tract 8841.01, Will County, IL",2015,51049,1143,148
"17197884103","Tract 8841.03, Will County, IL",2015,75286,832,113
"17197980000","Tract 9800, Will County, IL",2015,,0,0
"17197980100","Tract 9801, Will County, IL",2015,,22,18
