geoid,cntdenied,sumdenied,denial_rt_20,year
"17197883521",349.00,17.00,0.05,"2019"
"17197880307",693.00,69.00,0.10,"2019"
"17197883903",121.00,11.00,0.09,"2019"
"17197883515",492.00,41.00,0.08,"2019"
"17197883507",441.00,39.00,0.09,"2019"
"17197883305",272.00,18.00,0.07,"2019"
"17197883808",143.00,20.00,0.14,"2019"
"17197883803",45.00,7.00,0.16,"2019"
"17197884005",100.00,12.00,0.12,"2019"
NA,6.00,6.00,1.00,"2019"
"17197881302",21.00,5.00,0.24,"2019"
"17197881301",33.00,4.00,0.12,"2019"
"17197882500",25.00,10.00,0.40,"2019"
