year,geoid,b25095_001,b25074_001,b19013_001,name
2015,17197882500,237,534,37863,"Tract 8825, Will County, IL"
2015,17197882601,871,230,62429,"Tract 8826.01, Will County, IL"
2015,17197882602,380,465,39489,"Tract 8826.02, Will County, IL"
2015,17197882701,690,165,65917,"Tract 8827.01, Will County, IL"
2015,17197882702,415,572,46357,"Tract 8827.02, Will County, IL"
2015,17197882801,566,608,38661,"Tract 8828.01, Will County, IL"
2015,17197882802,420,665,32566,"Tract 8828.02, Will County, IL"
2015,17197882900,467,480,53299,"Tract 8829, Will County, IL"
2015,17197883000,719,400,49125,"Tract 8830, Will County, IL"
2015,17197883100,998,505,49550,"Tract 8831, Will County, IL"
2015,17197883206,1273,451,56284,"Tract 8832.06, Will County, IL"
2015,17197883208,998.8711781429,273.6170959738,52066.534763852185,"Tract 8832.08, Will County, IL"
2015,17197883209,761,273,74239,"Tract 8832.09, Will County, IL"
2015,17197883210,924,363,55785,"Tract 8832.10, Will County, IL"
2015,17197883211,1687,231,73289,"Tract 8832.11, Will County, IL"
2015,17197883212,1662,106,97237,"Tract 8832.12, Will County, IL"
2015,17197883213,1800,222,95338,"Tract 8832.13, Will County, IL"
2015,17197883214,907.578727854,91.545359751,70788,"Tract 8832.14, Will County, IL"
2015,17197883216,875,36,96653,"Tract 8832.16, Will County, IL"
2015,17197883217,14.421272146,1.454640249,70788,NA
2015,17197883303,1039.9031746574,70.7738095275,107740,"Tract 8833.03, Will County, IL"
2015,17197883304,651.0018131325,10.0001320825,73412.99447176028,"Tract 8833.04, Will County, IL"
2015,17197883305,983.0968253426,47.2261904725,93221.12697152504,"Tract 8833.05, Will County, IL"
2015,17197883306,987,124,88657,"Tract 8833.06, Will County, IL"
2015,17197883307,1339,201,70862,"Tract 8833.07, Will County, IL"
2015,17197883401,961,579,54028,"Tract 8834.01, Will County, IL"
2015,17197883402,583,283,54145,"Tract 8834.02, Will County, IL"
2015,17197883504,1972.0403696951,83.9591439708,87764,"Tract 8835.04, Will County, IL"
2015,17197883505,2255.9207513854003,206.1026994887,108875.48569572327,"Tract 8835.05, Will County, IL"
2015,17197883507,1217,39,105600,"Tract 8835.07, Will County, IL"
2015,17197883509,1373,256,67589,"Tract 8835.09, Will County, IL"
2015,17197883510,1464,92,96098,"Tract 8835.10, Will County, IL"
2015,17197883511,1442.0388789195,186.9381565405,83869.47635015198,"Tract 8835.11, Will County, IL"
2015,17197883513,1617.3178855546,46.9354646352,85000,"Tract 8835.13, Will County, IL"
2015,17197883514,2252.6821144454,22.0645353648,114971.30185920378,"Tract 8835.14, Will County, IL"
2015,17197883515,1253.6195428878,79.658112336,109188,"Tract 8835.15, Will County, IL"
2015,17197883516,2038.3804571122,42.341887664,124019.61566956733,"Tract 8835.16, Will County, IL"
2015,17197883517,1009,210,84671,"Tract 8835.17, Will County, IL"
